PMLE_TEAVM_FUNCTION_SIZE_CENSUS|PASS|artifact_sha256=3f2ed95e6afa1d9fdbb2b60e58fb2b4709f844e0010adb273285caac4c6ed117|artifact_bytes=4401578|functions=4321|reported=100
PMLE_TEAVM_FUNCTION_SIZE|rank=1|name=d_info__clinit_|bytes=163917|start=848850|end=1012766
PMLE_TEAVM_FUNCTION_SIZE|rank=2|name=d_statenum_t__clinit_|bytes=108448|start=1951936|end=2060383
PMLE_TEAVM_FUNCTION_SIZE|rank=3|name=pA_ActionsUseEvents_UseSpecialLine|bytes=86708|start=1417262|end=1503969
PMLE_TEAVM_FUNCTION_SIZE|rank=4|name=d_DoomMain_Ticker|bytes=74016|start=388119|end=462134
PMLE_TEAVM_FUNCTION_SIZE|rank=5|name=otciu_CLDRHelper_getLikelySubtagsMap$$create|bytes=65195|start=2585108|end=2650302
PMLE_TEAVM_FUNCTION_SIZE|rank=6|name=cjj_Inflate_inflate|bytes=51705|start=3281921|end=3333625
PMLE_TEAVM_FUNCTION_SIZE|rank=7|name=dme_SimulationEngineReachabilityProbe_restoreCheckpointCore|bytes=47149|start=205171|end=252319
PMLE_TEAVM_FUNCTION_SIZE|rank=8|name=jur_AbstractCharClass$PredefinedCharacterClasses__clinit_|bytes=36416|start=2806071|end=2842486
PMLE_TEAVM_FUNCTION_SIZE|rank=9|name=cjj_InfBlocks_proc|bytes=31928|start=3360680|end=3392607
PMLE_TEAVM_FUNCTION_SIZE|rank=10|name=otciu_CLDRHelper_getCurrencyMap$$create|bytes=31212|start=2650985|end=2682040
PMLE_TEAVM_FUNCTION_SIZE|rank=11|name=otcit_DoubleAnalyzer__clinit_|bytes=28351|start=3200019|end=3228369
PMLE_TEAVM_FUNCTION_SIZE|rank=12|name=otcit_DoubleSynthesizer__clinit_|bytes=28180|start=3150895|end=3179074
PMLE_TEAVM_FUNCTION_SIZE|rank=13|name=r_RendererState$SegDrawer_RenderSegLoop|bytes=27953|start=3645138|end=3673090
PMLE_TEAVM_FUNCTION_SIZE|rank=14|name=pA_ActionsThings_TouchSpecialThing|bytes=27265|start=1649481|end=1676745
PMLE_TEAVM_FUNCTION_SIZE|rank=15|name=g_Signals$ScanCode__clinit_|bytes=22527|start=1056087|end=1078613
PMLE_TEAVM_FUNCTION_SIZE|rank=16|name=p_BoomLevelLoader_P_LoadSegs_V4|bytes=22321|start=1268767|end=1291087
PMLE_TEAVM_FUNCTION_SIZE|rank=17|name=pA_ActionsMoveEvents_CrossSpecialLine|bytes=22095|start=1395116|end=1417210
PMLE_TEAVM_FUNCTION_SIZE|rank=18|name=p_BoomLevelLoader_P_LoadSegs|bytes=21741|start=1247024|end=1268764
PMLE_TEAVM_FUNCTION_SIZE|rank=19|name=pA_ActionsThinkers_Ticker|bytes=21398|start=1595369|end=1616766
PMLE_TEAVM_FUNCTION_SIZE|rank=20|name=jur_Lexer_movePointer|bytes=21121|start=2548952|end=2570072
PMLE_TEAVM_FUNCTION_SIZE|rank=21|name=cjj_InfCodes_proc|bytes=20406|start=3412399|end=3432804
PMLE_TEAVM_FUNCTION_SIZE|rank=22|name=d_DoomMain_readCVars|bytes=20095|start=522984|end=543078
PMLE_TEAVM_FUNCTION_SIZE|rank=23|name=p_ActiveStates__clinit_|bytes=18399|start=2064875|end=2083273
PMLE_TEAVM_FUNCTION_SIZE|rank=24|name=r_SpriteManager_InitSpriteDefs|bytes=17910|start=1202953|end=1220862
PMLE_TEAVM_FUNCTION_SIZE|rank=25|name=otcic_CurrencyHelper_getCurrencies$$create|bytes=16963|start=3255791|end=3272753
PMLE_TEAVM_FUNCTION_SIZE|rank=26|name=r_RendererState$SegDrawer_StoreWallRange|bytes=16795|start=3628341|end=3645135
PMLE_TEAVM_FUNCTION_SIZE|rank=27|name=r_SimpleTextureManager_InitTextures|bytes=16605|start=3707361|end=3723965
PMLE_TEAVM_FUNCTION_SIZE|rank=28|name=dme_SimulationEngineReachabilityProbe_checkpointLength|bytes=16358|start=182346|end=198703
PMLE_TEAVM_FUNCTION_SIZE|rank=29|name=d_spritenum_t__clinit_|bytes=15245|start=1904526|end=1919770
PMLE_TEAVM_FUNCTION_SIZE|rank=30|name=d_mobjtype_t__clinit_|bytes=15013|start=2344347|end=2359359
PMLE_TEAVM_FUNCTION_SIZE|rank=31|name=s_StatusBar_loadGraphics|bytes=14683|start=2198461|end=2213143
PMLE_TEAVM_FUNCTION_SIZE|rank=32|name=d_sounds$sfxenum_t__clinit_|bytes=14073|start=2090101|end=2104173
PMLE_TEAVM_FUNCTION_SIZE|rank=33|name=d_DoomMain_Display|bytes=13803|start=341452|end=355254
PMLE_TEAVM_FUNCTION_SIZE|rank=34|name=w_WadLoader_InitMultipleFiles|bytes=13598|start=1154393|end=1167990
PMLE_TEAVM_FUNCTION_SIZE|rank=35|name=d_CommandVariable__clinit_|bytes=13379|start=1088849|end=1102227
PMLE_TEAVM_FUNCTION_SIZE|rank=36|name=p_BoomLevelLoader_SetupLevel|bytes=13346|start=1367127|end=1380472
PMLE_TEAVM_FUNCTION_SIZE|rank=37|name=s_VanillaDSG_UnArchiveSpecials|bytes=12684|start=702428|end=715111
PMLE_TEAVM_FUNCTION_SIZE|rank=38|name=d_DoomMain_IdentifyVersion|bytes=12525|start=356922|end=369446
PMLE_TEAVM_FUNCTION_SIZE|rank=39|name=d_ConfigManager_SaveDefaults|bytes=12442|start=1036383|end=1048824
PMLE_TEAVM_FUNCTION_SIZE|rank=40|name=m_Settings__clinit_|bytes=12184|start=1110396|end=1122579
PMLE_TEAVM_FUNCTION_SIZE|rank=41|name=r_RendererState$Planes_DrawPlanes|bytes=12177|start=3774157|end=3786333
PMLE_TEAVM_FUNCTION_SIZE|rank=42|name=r_AbstractThings_DrawSprite|bytes=11967|start=3804581|end=3816547
PMLE_TEAVM_FUNCTION_SIZE|rank=43|name=w_WadLoader_AddFile|bytes=11648|start=1142234|end=1153881
PMLE_TEAVM_FUNCTION_SIZE|rank=44|name=p_UnifiedGameMap$Specials_InitPicAnims|bytes=11401|start=2316046|end=2327446
PMLE_TEAVM_FUNCTION_SIZE|rank=45|name=vr_BufferedRenderer__init_|bytes=11089|start=3998398|end=4009486
PMLE_TEAVM_FUNCTION_SIZE|rank=46|name=p_BoomLevelLoader_P_LoadZSegs|bytes=11081|start=1305217|end=1316297
PMLE_TEAVM_FUNCTION_SIZE|rank=47|name=r_RendererState_RenderPlayerView|bytes=11015|start=3602849|end=3613863
PMLE_TEAVM_FUNCTION_SIZE|rank=48|name=pA_ActionsMovement_NewChaseDir|bytes=11005|start=1695936|end=1706940
PMLE_TEAVM_FUNCTION_SIZE|rank=49|name=pA_ActionsMovement_XYMovement|bytes=10896|start=1718803|end=1729698
PMLE_TEAVM_FUNCTION_SIZE|rank=50|name=p_AbstractLevelLoader_CreateBlockMap|bytes=10894|start=604683|end=615576
PMLE_TEAVM_FUNCTION_SIZE|rank=51|name=s_VanillaDSG_UnArchiveThinkers|bytes=10622|start=684581|end=695202
PMLE_TEAVM_FUNCTION_SIZE|rank=52|name=cjj_InfCodes_inflate_fast|bytes=10607|start=3432859|end=3443465
