PMLE_TEAVM_FUNCTION_SIZE_CENSUS|PASS|artifact_sha256=b87fef940ea39b0f840672d4ad6fbaa8a8dd9caf81b072f1e110fe5afb186399|artifact_bytes=3700971|functions=4057|reported=100
PMLE_TEAVM_FUNCTION_SIZE|rank=1|name=d_info__clinit_|bytes=163917|start=730224|end=894140
PMLE_TEAVM_FUNCTION_SIZE|rank=2|name=d_statenum_t__clinit_|bytes=108448|start=1683904|end=1792351
PMLE_TEAVM_FUNCTION_SIZE|rank=3|name=pA_ActionsUseEvents_UseSpecialLine|bytes=86708|start=1141196|end=1227903
PMLE_TEAVM_FUNCTION_SIZE|rank=4|name=otciu_CLDRHelper_getLikelySubtagsMap$$create|bytes=65195|start=2091634|end=2156828
PMLE_TEAVM_FUNCTION_SIZE|rank=5|name=dme_SimulationEngineReachabilityProbe_restoreCheckpointCore|bytes=63850|start=152247|end=216096
PMLE_TEAVM_FUNCTION_SIZE|rank=6|name=cjj_Inflate_inflate|bytes=51703|start=2783080|end=2834782
PMLE_TEAVM_FUNCTION_SIZE|rank=7|name=d_DoomMain_Ticker|bytes=40368|start=417897|end=458264
PMLE_TEAVM_FUNCTION_SIZE|rank=8|name=jur_AbstractCharClass$PredefinedCharacterClasses__clinit_|bytes=36416|start=2303797|end=2340212
PMLE_TEAVM_FUNCTION_SIZE|rank=9|name=cjj_InfBlocks_proc|bytes=31924|start=2861836|end=2893759
PMLE_TEAVM_FUNCTION_SIZE|rank=10|name=otciu_CLDRHelper_getCurrencyMap$$create|bytes=31212|start=2157511|end=2188566
PMLE_TEAVM_FUNCTION_SIZE|rank=11|name=otcit_DoubleAnalyzer__clinit_|bytes=28351|start=2699739|end=2728089
PMLE_TEAVM_FUNCTION_SIZE|rank=12|name=otcit_DoubleSynthesizer__clinit_|bytes=28180|start=2648220|end=2676399
PMLE_TEAVM_FUNCTION_SIZE|rank=13|name=g_Signals$ScanCode__clinit_|bytes=22574|start=1553626|end=1576199
PMLE_TEAVM_FUNCTION_SIZE|rank=14|name=jur_Lexer_movePointer|bytes=21121|start=2054657|end=2075777
PMLE_TEAVM_FUNCTION_SIZE|rank=15|name=pA_ActionsMoveEvents_CrossSpecialLine|bytes=20806|start=1120339|end=1141144
PMLE_TEAVM_FUNCTION_SIZE|rank=16|name=cjj_InfCodes_proc|bytes=20406|start=2913551|end=2933956
PMLE_TEAVM_FUNCTION_SIZE|rank=17|name=d_DoomMain_readCVars|bytes=20095|start=507608|end=527702
PMLE_TEAVM_FUNCTION_SIZE|rank=18|name=p_ActiveStates__clinit_|bytes=18399|start=1796843|end=1815241
PMLE_TEAVM_FUNCTION_SIZE|rank=19|name=d_ConfigManager_SaveDefaults|bytes=17367|start=705118|end=722484
PMLE_TEAVM_FUNCTION_SIZE|rank=20|name=otcic_CurrencyHelper_getCurrencies$$create|bytes=16963|start=2756950|end=2773912
PMLE_TEAVM_FUNCTION_SIZE|rank=21|name=dme_SimulationEngineReachabilityProbe_checkpointLength|bytes=16358|start=132493|end=148850
PMLE_TEAVM_FUNCTION_SIZE|rank=22|name=d_spritenum_t__clinit_|bytes=15245|start=1636494|end=1651738
PMLE_TEAVM_FUNCTION_SIZE|rank=23|name=d_mobjtype_t__clinit_|bytes=15013|start=1883370|end=1898382
PMLE_TEAVM_FUNCTION_SIZE|rank=24|name=pA_ActionsThings_TouchSpecialThing|bytes=14217|start=1343026|end=1357242
PMLE_TEAVM_FUNCTION_SIZE|rank=25|name=d_sounds$sfxenum_t__clinit_|bytes=14073|start=1822069|end=1836141
PMLE_TEAVM_FUNCTION_SIZE|rank=26|name=w_WadLoader_InitMultipleFiles|bytes=13603|start=962694|end=976296
PMLE_TEAVM_FUNCTION_SIZE|rank=27|name=d_CommandVariable__clinit_|bytes=13379|start=900736|end=914114
PMLE_TEAVM_FUNCTION_SIZE|rank=28|name=r_SimpleTextureManager_InitTextures|bytes=12880|start=3120931|end=3133810
PMLE_TEAVM_FUNCTION_SIZE|rank=29|name=d_DoomMain_IdentifyVersion|bytes=12525|start=391745|end=404269
PMLE_TEAVM_FUNCTION_SIZE|rank=30|name=r_RendererState_Init|bytes=12400|start=3072710|end=3085109
PMLE_TEAVM_FUNCTION_SIZE|rank=31|name=m_Settings__clinit_|bytes=12184|start=922282|end=934465
PMLE_TEAVM_FUNCTION_SIZE|rank=32|name=r_SimpleTextureManager_GenerateLookup|bytes=12074|start=3143589|end=3155662
PMLE_TEAVM_FUNCTION_SIZE|rank=33|name=p_BoomLevelLoader_SetupLevel|bytes=10938|start=1097944|end=1108881
PMLE_TEAVM_FUNCTION_SIZE|rank=34|name=p_AbstractLevelLoader_CreateBlockMap|bytes=10888|start=551307|end=562194
PMLE_TEAVM_FUNCTION_SIZE|rank=35|name=vr_BufferedRenderer__init_|bytes=10863|start=3311664|end=3322526
PMLE_TEAVM_FUNCTION_SIZE|rank=36|name=w_WadLoader_AddFile|bytes=10842|start=951341|end=962182
PMLE_TEAVM_FUNCTION_SIZE|rank=37|name=cjj_InfCodes_inflate_fast|bytes=10607|start=2934011|end=2944617
PMLE_TEAVM_FUNCTION_SIZE|rank=38|name=r_SimpleTextureManager_InitHeadlessDirectories|bytes=9774|start=3133813|end=3143586
PMLE_TEAVM_FUNCTION_SIZE|rank=39|name=d_DoomMain__init_|bytes=9683|start=494336|end=504018
PMLE_TEAVM_FUNCTION_SIZE|rank=40|name=jur_Pattern_processTerminal|bytes=9379|start=1520293|end=1529671
PMLE_TEAVM_FUNCTION_SIZE|rank=41|name=d_sounds$musicenum_t__clinit_|bytes=9199|start=2991499|end=3000697
PMLE_TEAVM_FUNCTION_SIZE|rank=42|name=dme_SimulationEngineReachabilityProbe_initializeMultiplayerGameInternal|bytes=8092|start=113032|end=121123
PMLE_TEAVM_FUNCTION_SIZE|rank=43|name=juz_ZipInputStream_getNextEntry|bytes=7947|start=2558117|end=2566063
PMLE_TEAVM_FUNCTION_SIZE|rank=44|name=pA_ActionsFloors_DoFloor|bytes=7796|start=1241596|end=1249391
PMLE_TEAVM_FUNCTION_SIZE|rank=45|name=jur_Pattern_processRangeExpression|bytes=7743|start=1529674|end=1537416
PMLE_TEAVM_FUNCTION_SIZE|rank=46|name=dm_DoomDbMochaAdapter_canonicalStateMaterial|bytes=7657|start=338553|end=346209
PMLE_TEAVM_FUNCTION_SIZE|rank=47|name=pA_ActionsThinkers_SpawnSpecials|bytes=7606|start=1301452|end=1309057
PMLE_TEAVM_FUNCTION_SIZE|rank=48|name=jl_Character_obtainClasses$$create|bytes=7302|start=285977|end=293278
PMLE_TEAVM_FUNCTION_SIZE|rank=49|name=jn_URLStreamHandler_parseURL|bytes=7276|start=2257421|end=2264696
PMLE_TEAVM_FUNCTION_SIZE|rank=50|name=cjj_InfTree_huft_build|bytes=7265|start=2896083|end=2903347
PMLE_TEAVM_FUNCTION_SIZE|rank=51|name=s_VanillaDSG_ArchiveSpecials|bytes=7213|start=368265|end=375477
PMLE_TEAVM_FUNCTION_SIZE|rank=52|name=vt_GammaTables__clinit_|bytes=7116|start=3341510|end=3348625
PMLE_TEAVM_FUNCTION_SIZE|rank=53|name=jt_DecimalFormatParser_parseText|bytes=7082|start=3032417|end=3039498
PMLE_TEAVM_FUNCTION_SIZE|rank=54|name=f_EndLevel_updateNetgameStats|bytes=7066|start=1468974|end=1476039
PMLE_TEAVM_FUNCTION_SIZE|rank=55|name=p_BoomLevelLoader_P_LoadZNodes|bytes=6973|start=1062535|end=1069507
PMLE_TEAVM_FUNCTION_SIZE|rank=56|name=f_Finale_CastTicker|bytes=6972|start=1603994|end=1610965
PMLE_TEAVM_FUNCTION_SIZE|rank=57|name=jl_Double_parseDouble|bytes=6736|start=2531070|end=2537805
PMLE_TEAVM_FUNCTION_SIZE|rank=58|name=cjj_InfTree__clinit_|bytes=6646|start=2906047|end=2912692
PMLE_TEAVM_FUNCTION_SIZE|rank=59|name=w_WadLoader_ReadLump|bytes=6584|start=980036|end=986619
PMLE_TEAVM_FUNCTION_SIZE|rank=60|name=p_BoomLevelLoader_P_LoadSegs_V4|bytes=6534|start=1040068|end=1046601
PMLE_TEAVM_FUNCTION_SIZE|rank=61|name=w_InputStreamSugar_createInputStreamFromURI|bytes=6424|start=302972|end=309395
PMLE_TEAVM_FUNCTION_SIZE|rank=62|name=p_BoomLevelLoader_P_LoadSegs|bytes=6408|start=1033658|end=1040065
PMLE_TEAVM_FUNCTION_SIZE|rank=63|name=r_SimpleTextureManager_PrecacheLevel|bytes=6404|start=3158631|end=3165034
PMLE_TEAVM_FUNCTION_SIZE|rank=64|name=jt_DecimalFormat_formatExponent|bytes=6312|start=2608502|end=2614813
PMLE_TEAVM_FUNCTION_SIZE|rank=65|name=otcic_CurrencyHelper_getCountryToCurrencyMap$$create|bytes=6264|start=2773915|end=2780178
PMLE_TEAVM_FUNCTION_SIZE|rank=66|name=jt_DecimalFormat_formatRegular0|bytes=6180|start=2602320|end=2608499
PMLE_TEAVM_FUNCTION_SIZE|rank=67|name=jur_Pattern_processQuantifier|bytes=6166|start=1514125|end=1520290
PMLE_TEAVM_FUNCTION_SIZE|rank=68|name=jn_URL__init_0|bytes=6163|start=2211209|end=2217371
PMLE_TEAVM_FUNCTION_SIZE|rank=69|name=d_DoomMain_InitNew0|bytes=6139|start=478412|end=484550
PMLE_TEAVM_FUNCTION_SIZE|rank=70|name=pA_ActionsDoors_VerticalDoor|bytes=6139|start=1268515|end=1274653
PMLE_TEAVM_FUNCTION_SIZE|rank=71|name=s_VanillaDSG_UnArchiveSpecials|bytes=6117|start=375480|end=381596
PMLE_TEAVM_FUNCTION_SIZE|rank=72|name=f_EndLevel_updateStats|bytes=5976|start=1476532|end=1482507
PMLE_TEAVM_FUNCTION_SIZE|rank=73|name=pA_ActionsDoors_VerticalDoor0|bytes=5944|start=1256606|end=1262549
PMLE_TEAVM_FUNCTION_SIZE|rank=74|name=jl_AbstractStringBuilder_insert2|bytes=5917|start=87342|end=93258
PMLE_TEAVM_FUNCTION_SIZE|rank=75|name=r_SpriteManager_InitSpriteDefs|bytes=5893|start=1005041|end=1010933
PMLE_TEAVM_FUNCTION_SIZE|rank=76|name=pA_ActionsPlats_DoPlat|bytes=5791|start=1232382|end=1238172
PMLE_TEAVM_FUNCTION_SIZE|rank=77|name=jnci_UTF8Decoder_arrayDecode|bytes=5684|start=2959488|end=2965171
PMLE_TEAVM_FUNCTION_SIZE|rank=78|name=p_BoomLevelLoader_P_LoadLineDefs|bytes=5636|start=1073160|end=1078795
PMLE_TEAVM_FUNCTION_SIZE|rank=79|name=pAAM_Bosses_A_BossDeath|bytes=5621|start=1418227|end=1423847
PMLE_TEAVM_FUNCTION_SIZE|rank=80|name=jt_DecimalFormat__init_|bytes=5551|start=2589170|end=2594720
PMLE_TEAVM_FUNCTION_SIZE|rank=81|name=d_DoomMain_DoPlayDemo|bytes=5540|start=486243|end=491782
PMLE_TEAVM_FUNCTION_SIZE|rank=82|name=p_BoomLevelLoader_P_LoadBlockMap|bytes=5532|start=1084070|end=1089601
PMLE_TEAVM_FUNCTION_SIZE|rank=83|name=jur_Pattern_processExpression|bytes=5531|start=1501136|end=1506666
PMLE_TEAVM_FUNCTION_SIZE|rank=84|name=jl_AbstractStringBuilder_insert4|bytes=5477|start=81863|end=87339
PMLE_TEAVM_FUNCTION_SIZE|rank=85|name=dme_SimulationEngineReachabilityProbe_stepMultiplayerAuthoritative|bytes=5453|start=124628|end=130080
PMLE_TEAVM_FUNCTION_SIZE|rank=86|name=d_DoomMain_GenerateTitle|bytes=5413|start=407357|end=412769
PMLE_TEAVM_FUNCTION_SIZE|rank=87|name=jt_DecimalFormatParser_parseNumber|bytes=5410|start=3039501|end=3044910
PMLE_TEAVM_FUNCTION_SIZE|rank=88|name=d_DoomMain_DoLoadGame|bytes=5397|start=468070|end=473466
PMLE_TEAVM_FUNCTION_SIZE|rank=89|name=jt_DecimalFormat_formatRegular|bytes=5359|start=2615362|end=2620720
PMLE_TEAVM_FUNCTION_SIZE|rank=90|name=r_patch_t_unpack|bytes=5337|start=1591704|end=1597040
PMLE_TEAVM_FUNCTION_SIZE|rank=91|name=pA_ActionsCeilings_MoveCeiling|bytes=5299|start=1274897|end=1280195
PMLE_TEAVM_FUNCTION_SIZE|rank=92|name=d_DoomMain_HGetPacket|bytes=5293|start=531904|end=537196
PMLE_TEAVM_FUNCTION_SIZE|rank=93|name=jt_DecimalFormat_formatExponent0|bytes=5259|start=2597059|end=2602317
PMLE_TEAVM_FUNCTION_SIZE|rank=94|name=r_RendererState_ExecuteSetViewSize|bytes=5194|start=3067514|end=3072707
PMLE_TEAVM_FUNCTION_SIZE|rank=95|name=pA_ActionsPathTraverse_PathTraverse|bytes=5177|start=1357510|end=1362686
PMLE_TEAVM_FUNCTION_SIZE|rank=96|name=d_DoomMain_DoCompleted|bytes=5143|start=462925|end=468067
PMLE_TEAVM_FUNCTION_SIZE|rank=97|name=pA_ActionsAttacks_ShootTraverse|bytes=5130|start=1412807|end=1417936
PMLE_TEAVM_FUNCTION_SIZE|rank=98|name=d_DoomMain_DoLoadLevel|bytes=5123|start=412772|end=417894
PMLE_TEAVM_FUNCTION_SIZE|rank=99|name=jni_XHRURLConnection_getInputStream|bytes=5065|start=2485405|end=2490469
PMLE_TEAVM_FUNCTION_SIZE|rank=100|name=vt_ColorTint__clinit_|bytes=5036|start=3336138|end=3341173
