PMLE_HOST_QUIESCENCE|PASS|docker_builds=0|compiles=0|verifiers=0
PMLE_HIDDEN_JIT_SETTINGS|cell=immediate|settings=alter session set "_mle_compile_immediately"=true;
PMLE_HIDDEN_JIT|DIAGNOSTIC_NOT_GATE|cell=immediate|iterations=1000000|samples=40
PMLE_HIDDEN_JIT_SAMPLE|cell=immediate|sample=1|elapsed_ms=554.627|ns_per_iteration=554.627|checksum=-1169756117
PMLE_HIDDEN_JIT_SAMPLE|cell=immediate|sample=2|elapsed_ms=411.601|ns_per_iteration=411.601|checksum=1974097907
PMLE_HIDDEN_JIT_SAMPLE|cell=immediate|sample=3|elapsed_ms=415.903|ns_per_iteration=415.903|checksum=1553740419
PMLE_HIDDEN_JIT_SAMPLE|cell=immediate|sample=4|elapsed_ms=393.627|ns_per_iteration=393.627|checksum=1184088597
PMLE_HIDDEN_JIT_SAMPLE|cell=immediate|sample=5|elapsed_ms=359.291|ns_per_iteration=359.291|checksum=82945372
PMLE_HIDDEN_JIT_SAMPLE|cell=immediate|sample=6|elapsed_ms=371.628|ns_per_iteration=371.628|checksum=-106250813
PMLE_HIDDEN_JIT_SAMPLE|cell=immediate|sample=7|elapsed_ms=376.664|ns_per_iteration=376.664|checksum=-2056991061
PMLE_HIDDEN_JIT_SAMPLE|cell=immediate|sample=8|elapsed_ms=357.415|ns_per_iteration=357.415|checksum=1331244620
PMLE_HIDDEN_JIT_SAMPLE|cell=immediate|sample=9|elapsed_ms=361.641|ns_per_iteration=361.641|checksum=-1136538474
PMLE_HIDDEN_JIT_SAMPLE|cell=immediate|sample=10|elapsed_ms=388.110|ns_per_iteration=388.110|checksum=1111523520
PMLE_HIDDEN_JIT_SAMPLE|cell=immediate|sample=11|elapsed_ms=365.776|ns_per_iteration=365.776|checksum=1624231957
PMLE_HIDDEN_JIT_SAMPLE|cell=immediate|sample=12|elapsed_ms=380.021|ns_per_iteration=380.021|checksum=-141253258
PMLE_HIDDEN_JIT_SAMPLE|cell=immediate|sample=13|elapsed_ms=385.308|ns_per_iteration=385.308|checksum=-334458853
PMLE_HIDDEN_JIT_SAMPLE|cell=immediate|sample=14|elapsed_ms=372.913|ns_per_iteration=372.913|checksum=-2076221668
PMLE_HIDDEN_JIT_SAMPLE|cell=immediate|sample=15|elapsed_ms=365.400|ns_per_iteration=365.400|checksum=1125616868
PMLE_HIDDEN_JIT_SAMPLE|cell=immediate|sample=16|elapsed_ms=397.563|ns_per_iteration=397.563|checksum=1707602329
PMLE_HIDDEN_JIT_SAMPLE|cell=immediate|sample=17|elapsed_ms=435.720|ns_per_iteration=435.720|checksum=1772693734
PMLE_HIDDEN_JIT_SAMPLE|cell=immediate|sample=18|elapsed_ms=372.823|ns_per_iteration=372.823|checksum=-1473965924
PMLE_HIDDEN_JIT_SAMPLE|cell=immediate|sample=19|elapsed_ms=357.672|ns_per_iteration=357.672|checksum=870250623
PMLE_HIDDEN_JIT_SAMPLE|cell=immediate|sample=20|elapsed_ms=374.084|ns_per_iteration=374.084|checksum=-2141209144
PMLE_HIDDEN_JIT_SAMPLE|cell=immediate|sample=21|elapsed_ms=353.227|ns_per_iteration=353.227|checksum=-162657825
PMLE_HIDDEN_JIT_SAMPLE|cell=immediate|sample=22|elapsed_ms=360.430|ns_per_iteration=360.430|checksum=972104858
PMLE_HIDDEN_JIT_SAMPLE|cell=immediate|sample=23|elapsed_ms=365.435|ns_per_iteration=365.435|checksum=2039866390
PMLE_HIDDEN_JIT_SAMPLE|cell=immediate|sample=24|elapsed_ms=359.434|ns_per_iteration=359.434|checksum=-1369466368
PMLE_HIDDEN_JIT_SAMPLE|cell=immediate|sample=25|elapsed_ms=356.579|ns_per_iteration=356.579|checksum=-1205140484
PMLE_HIDDEN_JIT_SAMPLE|cell=immediate|sample=26|elapsed_ms=364.438|ns_per_iteration=364.438|checksum=386062180
PMLE_HIDDEN_JIT_SAMPLE|cell=immediate|sample=27|elapsed_ms=362.123|ns_per_iteration=362.123|checksum=-1095296871
PMLE_HIDDEN_JIT_SAMPLE|cell=immediate|sample=28|elapsed_ms=362.599|ns_per_iteration=362.599|checksum=1429380760
PMLE_HIDDEN_JIT_SAMPLE|cell=immediate|sample=29|elapsed_ms=388.982|ns_per_iteration=388.982|checksum=171728362
PMLE_HIDDEN_JIT_SAMPLE|cell=immediate|sample=30|elapsed_ms=358.887|ns_per_iteration=358.887|checksum=-1305165505
PMLE_HIDDEN_JIT_SAMPLE|cell=immediate|sample=31|elapsed_ms=419.155|ns_per_iteration=419.155|checksum=-1978410103
PMLE_HIDDEN_JIT_SAMPLE|cell=immediate|sample=32|elapsed_ms=398.582|ns_per_iteration=398.582|checksum=2081874945
PMLE_HIDDEN_JIT_SAMPLE|cell=immediate|sample=33|elapsed_ms=359.208|ns_per_iteration=359.208|checksum=-1331346043
PMLE_HIDDEN_JIT_SAMPLE|cell=immediate|sample=34|elapsed_ms=383.294|ns_per_iteration=383.294|checksum=-1933474229
PMLE_HIDDEN_JIT_SAMPLE|cell=immediate|sample=35|elapsed_ms=392.013|ns_per_iteration=392.013|checksum=65734537
PMLE_HIDDEN_JIT_SAMPLE|cell=immediate|sample=36|elapsed_ms=389.130|ns_per_iteration=389.130|checksum=-2108120239
PMLE_HIDDEN_JIT_SAMPLE|cell=immediate|sample=37|elapsed_ms=378.002|ns_per_iteration=378.002|checksum=1143936018
PMLE_HIDDEN_JIT_SAMPLE|cell=immediate|sample=38|elapsed_ms=376.332|ns_per_iteration=376.332|checksum=-1031503857
PMLE_HIDDEN_JIT_SAMPLE|cell=immediate|sample=39|elapsed_ms=371.341|ns_per_iteration=371.341|checksum=2079472921
