through_tic avg_ms thinkers living awake moving required_speedup
100 192.077 247 29 9 0 6.723
200 251.341 254 28 20 2 8.797
300 290.124 253 28 20 1 10.154
400 285.995 250 28 20 0 10.010
500 275.772 248 28 20 0 9.652
600 252.650 247 28 20 0 8.843
700 266.490 249 28 20 0 9.327
800 192.262 240 28 20 2 6.729
900 179.677 241 27 19 0 6.289
1000 179.779 241 26 18 0 6.292
1100 176.208 238 24 18 0 6.167
1200 161.996 244 21 15 0 5.670
1300 138.218 237 21 15 0 4.838
1400 124.877 237 21 15 0 4.371
1500 147.483 235 21 15 0 5.162
1600 156.721 239 21 15 0 5.485
1700 207.854 239 19 17 0 7.275
1800 176.936 242 18 16 1 6.193
1900 214.707 235 18 16 1 7.515
2000 204.180 234 17 15 0 7.146
2100 187.950 234 17 15 0 6.578
2200 189.241 234 17 15 0 6.623
2300 164.026 234 17 15 0 5.741
2400 169.202 235 17 15 0 5.922
2500 165.531 237 17 15 0 5.794
2600 231.246 238 17 15 0 8.094
2700 210.525 236 17 15 0 7.368
2800 189.595 234 17 15 0 6.636
2900 173.248 234 17 15 0 6.064
3000 163.469 234 17 15 0 5.721
3100 166.400 234 17 15 0 5.824
3200 149.023 236 17 15 0 5.216
3300 173.802 236 17 15 0 6.083
3400 139.098 235 17 15 0 4.868
3500 202.976 240 17 15 0 7.104
3600 159.838 234 17 15 0 5.594
3700 139.001 234 17 15 0 4.865
3800 142.078 234 17 15 0 4.973
3900 133.835 235 17 15 0 4.684
4000 132.708 236 17 15 0 4.645
4100 134.070 236 17 15 0 4.692
4200 112.899 234 17 15 0 3.951
4300 106.426 234 17 15 0 3.725
4400 107.876 234 17 15 0 3.776
4500 106.977 234 17 15 0 3.744
4600 108.122 234 17 15 0 3.784
4700 106.498 234 17 15 0 3.727
4800 108.719 234 17 15 0 3.805
4900 105.990 234 17 15 0 3.710
5000 106.501 234 17 15 0 3.728
5100 106.640 234 17 15 0 3.732
5200 134.097 234 17 15 0 4.693
